technique_id,name,phases,platforms,permissions,mitre_tactic_score
T1156,.bash_profile and .bashrc,persistence,"Linux,macOS","User,Administrator",3
T1134,Access Token Manipulation,"defense-evasion,privilege-escalation",Windows,"User,Administrator",5
T1015,Accessibility Features,"persistence,privilege-escalation",Windows,Administrator,5
T1087,Account Discovery,discovery,"Linux,macOS,Windows",User,2
T1098,Account Manipulation,credential-access,Windows,Administrator,4
T1182,AppCert DLLs,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1103,AppInit DLLs,"persistence,privilege-escalation",Windows,Administrator,5
T1155,AppleScript,"execution,lateral-movement",macOS,User,4
T1017,Application Deployment Software,lateral-movement,"Linux,macOS,Windows",,4
T1138,Application Shimming,"persistence,privilege-escalation",Windows,Administrator,5
T1010,Application Window Discovery,discovery,"macOS,Windows",User,2
T1123,Audio Capture,collection,"Linux,macOS,Windows",User,2
T1131,Authentication Package,persistence,Windows,Administrator,3
T1119,Automated Collection,collection,"Linux,macOS,Windows",User,2
T1020,Automated Exfiltration,exfiltration,"Linux,macOS,Windows",,4
T1139,Bash History,credential-access,"Linux,macOS",User,4
T1009,Binary Padding,defense-evasion,"Linux,macOS,Windows",,3
T1067,Bootkit,persistence,"Linux,Windows","Administrator,SYSTEM",3
T1176,Browser Extensions,"collection,persistence","Linux,macOS,Windows",User,3
T1110,Brute Force,credential-access,"Linux,macOS,Windows",User,4
T1088,Bypass User Account Control,"defense-evasion,privilege-escalation",Windows,"User,Administrator",5
T1042,Change Default File Association,persistence,Windows,"User,Administrator,SYSTEM",3
T1146,Clear Command History,defense-evasion,"Linux,macOS",User,3
T1115,Clipboard Data,collection,"Linux,macOS,Windows",,2
T1116,Code Signing,defense-evasion,"Windows,macOS",,3
T1059,Command-Line Interface,execution,"Linux,Windows,macOS","Administrator,SYSTEM,User",3
T1043,Commonly Used Port,command-and-control,"Linux,macOS,Windows",,4
T1092,Communication Through Removable Media,command-and-control,"Linux,macOS,Windows",,4
T1109,Component Firmware,"defense-evasion,persistence",Windows,SYSTEM,3
T1122,Component Object Model Hijacking,"defense-evasion,persistence",Windows,User,3
T1090,Connection Proxy,command-and-control,"Linux,macOS,Windows",,4
T1136,Create Account,persistence,"Linux,macOS,Windows",Administrator,3
T1003,Credential Dumping,credential-access,Windows,"Administrator,SYSTEM",4
T1081,Credentials in Files,credential-access,"Linux,macOS,Windows","User,Administrator,SYSTEM",4
T1094,Custom Command and Control Protocol,command-and-control,"Linux,macOS,Windows",,4
T1024,Custom Cryptographic Protocol,command-and-control,"Linux,macOS,Windows",,4
T1038,DLL Search Order Hijacking,"defense-evasion,persistence,privilege-escalation",Windows,"User,Administrator,SYSTEM",5
T1073,DLL Side-Loading,defense-evasion,Windows,,3
T1002,Data Compressed,exfiltration,"Linux,macOS,Windows",,4
T1132,Data Encoding,command-and-control,"Linux,macOS,Windows",User,4
T1022,Data Encrypted,exfiltration,"Linux,macOS,Windows",,4
T1001,Data Obfuscation,command-and-control,"Linux,macOS,Windows",,4
T1074,Data Staged,collection,"Linux,macOS,Windows",,2
T1030,Data Transfer Size Limits,exfiltration,"Linux,macOS,Windows",,4
T1005,Data from Local System,collection,"Linux,macOS,Windows",,2
T1039,Data from Network Shared Drive,collection,"Linux,macOS,Windows",,2
T1025,Data from Removable Media,collection,"Linux,macOS,Windows",,2
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Windows,User,3
T1089,Disabling Security Tools,defense-evasion,"Linux,macOS,Windows",,3
T1175,Distributed Component Object Model,lateral-movement,Windows,"Administrator,SYSTEM",4
T1172,Domain Fronting,command-and-control,"Linux,macOS,Windows",,4
T1157,Dylib Hijacking,"persistence,privilege-escalation",macOS,User,5
T1173,Dynamic Data Exchange,execution,Windows,User,3
T1114,Email Collection,collection,Windows,,2
T1106,Execution through API,execution,Windows,"User,Administrator,SYSTEM",3
T1129,Execution through Module Load,execution,Windows,User,3
T1048,Exfiltration Over Alternative Protocol,exfiltration,"Linux,macOS,Windows",,4
T1041,Exfiltration Over Command and Control Channel,exfiltration,"Linux,macOS,Windows",,4
T1011,Exfiltration Over Other Network Medium,exfiltration,"Linux,macOS,Windows",,4
T1052,Exfiltration Over Physical Medium,exfiltration,"Linux,macOS,Windows",,4
T1068,Exploitation of Vulnerability,"credential-access,defense-evasion,lateral-movement,privilege-escalation","Linux,macOS,Windows","User,Administrator,SYSTEM",5
T1133,External Remote Services,persistence,Windows,User,3
T1181,Extra Window Memory Injection,"defense-evasion,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1008,Fallback Channels,command-and-control,"Linux,macOS,Windows",,4
T1107,File Deletion,defense-evasion,"Linux,Windows,macOS",User,3
T1006,File System Logical Offsets,defense-evasion,Windows,Administrator,3
T1044,File System Permissions Weakness,"persistence,privilege-escalation",Windows,"User,Administrator",5
T1083,File and Directory Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM",2
T1187,Forced Authentication,credential-access,Windows,User,4
T1144,Gatekeeper Bypass,defense-evasion,macOS,"User,Administrator",3
T1061,Graphical User Interface,execution,"Linux,macOS,Windows","User,Administrator,SYSTEM",3
T1148,HISTCONTROL,defense-evasion,"Linux,macOS",User,3
T1158,Hidden Files and Directories,"defense-evasion,persistence","Linux,macOS,Windows",User,3
T1147,Hidden Users,defense-evasion,macOS,"Administrator,root",3
T1143,Hidden Window,defense-evasion,macOS,User,3
T1179,Hooking,"credential-access,persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1062,Hypervisor,persistence,Windows,"Administrator,SYSTEM",3
T1183,Image File Execution Options Injection,"defense-evasion,persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1054,Indicator Blocking,defense-evasion,Windows,,3
T1066,Indicator Removal from Tools,defense-evasion,"Linux,macOS,Windows",,3
T1070,Indicator Removal on Host,defense-evasion,"Linux,macOS,Windows",,3
T1056,Input Capture,"collection,credential-access","Linux,macOS,Windows","Administrator,SYSTEM",4
T1141,Input Prompt,credential-access,macOS,User,4
T1130,Install Root Certificate,defense-evasion,"Linux,Windows",Administrator,3
T1118,InstallUtil,"defense-evasion,execution",Windows,User,3
T1142,Keychain,credential-access,macOS,Administrator,4
T1161,LC_LOAD_DYLIB Addition,persistence,macOS,User,3
T1149,LC_MAIN Hijacking,defense-evasion,macOS,"User,Administrator",3
T1171,LLMNR/NBT-NS Poisoning,credential-access,Windows,User,4
T1177,LSASS Driver,"execution,persistence",Windows,"Administrator,SYSTEM",3
T1159,Launch Agent,persistence,macOS,"User,Administrator",3
T1160,Launch Daemon,"persistence,privilege-escalation",macOS,Administrator,5
T1152,Launchctl,"defense-evasion,execution,persistence",macOS,"User,Administrator",3
T1168,Local Job Scheduling,"persistence,execution","Linux,macOS","Administrator,User,root",3
T1162,Login Item,persistence,macOS,User,3
T1037,Logon Scripts,"lateral-movement,persistence","macOS,Windows",,4
T1185,Man in the Browser,collection,Windows,"Administrator,SYSTEM",2
T1036,Masquerading,defense-evasion,"Linux,macOS,Windows",,3
T1031,Modify Existing Service,persistence,Windows,"Administrator,SYSTEM",3
T1112,Modify Registry,defense-evasion,Windows,"User,Administrator,SYSTEM",3
T1170,Mshta,"defense-evasion,execution",Windows,User,3
T1104,Multi-Stage Channels,command-and-control,"Linux,macOS,Windows",,4
T1188,Multi-hop Proxy,command-and-control,"Linux,macOS,Windows",,4
T1026,Multiband Communication,command-and-control,"Linux,macOS,Windows",,4
T1079,Multilayer Encryption,command-and-control,"Linux,macOS,Windows",,4
T1096,NTFS Extended Attributes,defense-evasion,Windows,,3
T1128,Netsh Helper DLL,persistence,Windows,"Administrator,SYSTEM",3
T1046,Network Service Scanning,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM",2
T1126,Network Share Connection Removal,defense-evasion,Windows,"User,Administrator",3
T1135,Network Share Discovery,discovery,"macOS,Windows",User,2
T1040,Network Sniffing,credential-access,"Linux,macOS,Windows","Administrator,SYSTEM",4
T1050,New Service,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1027,Obfuscated Files or Information,defense-evasion,"Linux,macOS,Windows",,3
T1137,Office Application Startup,persistence,Windows,"User,Administrator",3
T1075,Pass the Hash,lateral-movement,Windows,,4
T1097,Pass the Ticket,lateral-movement,Windows,,4
T1174,Password Filter DLL,credential-access,Windows,"Administrator,SYSTEM",4
T1034,Path Interception,"persistence,privilege-escalation",Windows,"User,Administrator,SYSTEM",5
T1120,Peripheral Device Discovery,discovery,Windows,"User,Administrator,SYSTEM",2
T1069,Permission Groups Discovery,discovery,"Linux,Windows,macOS",User,2
T1150,Plist Modification,"defense-evasion,persistence,privilege-escalation",macOS,"User,Administrator",5
T1013,Port Monitors,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1086,PowerShell,execution,Windows,"User,Administrator",3
T1145,Private Keys,credential-access,"Linux,Windows,macOS",User,4
T1057,Process Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM",2
T1186,Process Doppelgänging,defense-evasion,Windows,"User,Administrator,SYSTEM",3
T1093,Process Hollowing,defense-evasion,Windows,User,3
T1055,Process Injection,"defense-evasion,privilege-escalation","Linux,macOS,Windows","User,Administrator,SYSTEM,root",5
T1012,Query Registry,discovery,Windows,"User,Administrator,SYSTEM",2
T1163,Rc.common,persistence,"Linux,macOS",root,3
T1164,Re-opened Applications,persistence,macOS,User,3
T1108,Redundant Access,"defense-evasion,persistence","Linux,macOS,Windows","User,Administrator,SYSTEM",3
T1060,Registry Run Keys / Start Folder,persistence,Windows,"User,Administrator",3
T1121,Regsvcs/Regasm,"defense-evasion,execution",Windows,"User,Administrator",3
T1117,Regsvr32,"defense-evasion,execution",Windows,"User,Administrator",3
T1076,Remote Desktop Protocol,lateral-movement,Windows,"User,Remote Desktop Users",4
T1105,Remote File Copy,"command-and-control,lateral-movement","Linux,macOS,Windows",User,4
T1021,Remote Services,lateral-movement,"Linux,macOS,Windows",,4
T1018,Remote System Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM",2
T1091,Replication Through Removable Media,"lateral-movement,credential-access",Windows,User,4
T1014,Rootkit,defense-evasion,"Linux,macOS,Windows","Administrator,SYSTEM,root",3
T1085,Rundll32,"defense-evasion,execution",Windows,User,3
T1178,SID-History Injection,privilege-escalation,Windows,"Administrator,SYSTEM",5
T1184,SSH Hijacking,lateral-movement,"Linux,macOS","User,root",4
T1053,Scheduled Task,"execution,persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1029,Scheduled Transfer,exfiltration,"Linux,macOS,Windows",,4
T1113,Screen Capture,collection,"Linux,macOS,Windows",,2
T1180,Screensaver,persistence,Windows,User,3
T1064,Scripting,"defense-evasion,execution","Linux,macOS,Windows",,3
T1063,Security Software Discovery,discovery,"macOS,Windows","User,Administrator,SYSTEM",2
T1101,Security Support Provider,persistence,Windows,Administrator,3
T1167,Securityd Memory,credential-access,macOS,root,4
T1035,Service Execution,execution,Windows,"Administrator,SYSTEM",3
T1058,Service Registry Permissions Weakness,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM",5
T1166,Setuid and Setgid,privilege-escalation,"Linux,macOS",User,5
T1051,Shared Webroot,lateral-movement,Windows,,4
T1023,Shortcut Modification,persistence,Windows,"User,Administrator",3
T1045,Software Packing,defense-evasion,Windows,,3
T1153,Source,execution,"Linux,macOS",User,3
T1151,Space after Filename,"defense-evasion,execution","Linux,macOS",User,3
T1071,Standard Application Layer Protocol,command-and-control,"Linux,macOS,Windows",,4
T1032,Standard Cryptographic Protocol,command-and-control,"Linux,macOS,Windows",,4
T1095,Standard Non-Application Layer Protocol,command-and-control,"Linux,macOS,Windows",,4
